Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1624958587.325	     5.539	0	362	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_UP_Moradabad
2	:	1624958587.834	     5.587	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_TN_Tenkasi
3	:	1624958588.376	     5.555	0	592	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MH_Thane
4	:	1624958588.915	     5.590	0	363	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_CT_Mahasamund
5	:	1624958589.451	     5.699	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_WB_Malda
6	:	1624958590.026	     5.605	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_PB_Patiala
7	:	1624958590.536	     5.708	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_GJ_Surat
8	:	1624958591.136	     5.680	0	359	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_UP_Hardoi
9	:	1624958591.669	     5.582	0	367	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_BR_West_Champaran
10	:	1624958592.189	     5.674	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_HR_Hisar
11	:	1624958592.695	     5.694	0	590	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MH_Pune
12	:	1624958593.263	     5.671	0	363	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_BR_Kishanganj
13	:	1624958593.793	     5.634	0	364	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_GJ_Sabarkantha
15	:	1624958594.815	     4.843	0	363	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MP_Chhindwara
14	:	1624958594.308	     5.584	0	359	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MH_Sangli
16	:	1624958595.360	     5.626	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_CT_Balod
17	:	1624958595.913	     5.623	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_RJ_Bikaner
18	:	1624958596.453	     5.636	0	361	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_CT_Surajpur
19	:	1624958596.967	     5.770	0	596	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MP_Dindori
20	:	1624958597.515	     5.642	0	364	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_GJ_Gir_Somnath
22	:	1624958598.576	     4.841	0	367	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_GJ_Chhota_Udaipur
21	:	1624958598.059	     5.677	0	363	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_KA_Shivamogga
23	:	1624958599.085	     4.876	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_GA_Unknown
24	:	1624958599.613	     5.628	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MP_Neemuch
25	:	1624958600.134	     5.677	0	368	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_TN_Tiruchirappalli
26	:	1624958600.682	     5.804	0	590	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MP_Shajapur
27	:	1624958601.218	     5.677	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_CT_Jashpur
28	:	1624958601.738	     5.662	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_RJ_Churu
29	:	1624958602.280	     5.631	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_JH_Koderma
30	:	1624958602.823	     5.694	0	359	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_KL_Kollam
31	:	1624958603.348	     5.667	0	362	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_GJ_Mahisagar
33	:	1624958604.387	     4.794	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MP_Panna
32	:	1624958603.859	     5.690	0	363	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_RJ_Ganganagar
34	:	1624958604.920	     5.750	0	359	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_RJ_Jalore
35	:	1624958605.430	     5.661	0	365	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_TN_Thoothukkudi
36	:	1624958605.974	     5.745	0	362	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_UP_Balrampur
37	:	1624958606.486	     5.665	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_BR_Buxar
38	:	1624958607.002	     5.695	0	359	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MH_Nanded
39	:	1624958607.510	     5.621	0	370	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_PB_Sri_Muktsar_Sahib
40	:	1624958608.026	     5.907	0	579	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_WB_Paschim_Bardhaman
